subj_id,magnitude,vehicle,motion
1,2.0217196397651467,0,0
2,1.5591152704824753,0,0
3,2.742119237785127,0,0
4,2.36496747527819,0,0
5,1.2708108061043601,0,0
6,2.091610009403725,0,0
1,2.0718473661905827e-06,1,0
2,-3.0267637316345e-06,1,0
3,1.0888998299850032e-06,1,0
4,6.456889580502718e-07,1,0
5,2.0912491587924571e-07,1,0
6,1.3088149429036828e-08,1,0
1,-0.011205793265847568,2,0
2,0.013292565044574982,2,0
3,-3.139707662523316e-05,2,0
4,0.02733042044712397,2,0
5,-3.497815443147554e-05,2,0
6,-3.12365376066393e-05,2,0
1,2.0471002352010474,0,1
2,2.60539522364655,0,1
3,3.5873118091992833,0,1
4,2.810856548466502,0,1
5,2.0390673244882516,0,1
6,3.459354882910834,0,1
1,-4.183256160878693e-06,1,1
2,-0.042918350624263496,1,1
3,0.00964558708339509,1,1
4,204.56409342188786,1,1
5,0.06469234392531412,1,1
6,0.1640290100655271,1,1
1,-9.825482729607821e-06,2,1
2,-0.005298918498207875,2,1
3,0.31292635972394456,2,1
4,-0.001935771188729674,2,1
5,-7.116300694321799e-07,2,1
6,1.7943266446826842e-06,2,1
