subj_id,magnitude,vehicle,motion
1,2.839365642453016,0,0
2,1.836820773205992,0,0
3,3.180150031413377,0,0
4,5.181791763475637,0,0
5,1.8745205503648459,0,0
6,0.9411801881081492,0,0
1,0.5761273556812876,1,0
2,0.3397633597951605,1,0
3,0.5485571156811451,1,0
4,0.43707223753509444,1,0
5,0.3653411712506742,1,0
6,0.38087351230877087,1,0
1,0.03073953512006225,2,0
2,0.02020284361428025,2,0
3,0.046578629502673455,2,0
4,0.03895440807780051,2,0
5,0.03278627723681839,2,0
6,0.02495675831858947,2,0
1,2.8585489835383138,0,1
2,2.610273500905442,0,1
3,4.965088526167713,0,1
4,5.467903318991818,0,1
5,4.861041055827556,0,1
6,3.507163228677132,0,1
1,0.5453322809591725,1,1
2,0.3491513671277422,1,1
3,0.4346425426347883,1,1
4,28.07552551343292,1,1
5,0.6112351376040291,1,1
6,0.4416692167106706,1,1
1,0.027925115512659193,2,1
2,0.035173021884805165,2,1
3,0.061700584230575256,2,1
4,0.07700375772457245,2,1
5,0.1717719066097981,2,1
6,0.042893871774008,2,1
