subj_id,magnitude,vehicle,motion
1,0.4448795169025015,0,0
2,0.5779443702928877,0,0
3,0.4933757293073352,0,0
4,0.3240354904918564,0,0
5,0.5326041478630166,0,0
6,1.629292019270142,0,0
1,0.19094931516588826,1,0
2,0.23383880525442952,1,0
3,0.18721940197356796,1,0
4,0.1864877505152801,1,0
5,0.21111527418521536,1,0
6,0.3418604760498516,1,0
1,3.0466642255722034,2,0
2,5.235766594709644,2,0
3,2.394946730172892,2,0
4,2.468782766735549,2,0
5,4.148432528294006,2,0
6,5.6665372397531915,2,0
1,0.5205922382192658,0,1
2,0.8056430815789182,0,1
3,0.49916268447239687,0,1
4,0.3346026083934289,0,1
5,0.3551158704805306,0,1
6,0.7024735313020718,0,1
1,0.15730328357760304,1,1
2,0.22720718464507253,1,1
3,0.2260605839227942,1,1
4,4.5196104064179945,1,1
5,0.14776441254847206,1,1
6,0.2797530426532875,1,1
1,4.9428416851602215,2,1
2,2.0944695381306846,2,1
3,2.833772273017845,2,1
4,1.0669382559088239,2,1
5,0.5814677130970767,2,1
6,2.0223593839829253,2,1
