subj_id,magnitude,vehicle,motion
1,0.2658885186631569,0,0
2,0.3113676457593363,0,0
3,0.4717824418632981,0,0
4,0.2032461493011931,0,0
5,0.3811562868956021,0,0
6,0.24093056154926884,0,0
1,0.20951386822036766,1,0
2,0.41383293136850063,1,0
3,0.45439450621621547,1,0
4,0.6062581806349543,1,0
5,0.3108213072576149,1,0
6,0.36015792761309573,1,0
1,0.10997772039810733,2,0
2,0.36631938445136525,2,0
3,0.42821610017198974,2,0
4,0.5426850412056798,2,0
5,0.1983465597964391,2,0
6,0.36638226044189365,2,0
1,0.4766050688086936,0,1
2,0.5808200219426003,0,1
3,0.5476605042064955,0,1
4,0.37201369621487246,0,1
5,0.35285511827497584,0,1
6,0.3695658435946716,0,1
1,0.23280080623868094,1,1
2,0.4646118370979543,1,1
3,0.8399323023799827,1,1
4,0.27530330943423054,1,1
5,0.3097360117296417,1,1
6,0.3166241151821837,1,1
1,0.29248414122711025,2,1
2,0.4202533139044201,2,1
3,0.4111780975926883,2,1
4,0.6860909795301723,2,1
5,0.3264421060767164,2,1
6,0.3889289417980538,2,1
